,raw_comment,cleaned,emotion,score,emoji
883,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
884,Taylor sang it again,taylor sang it again,neutral,0.879,
885,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
886,Can anyone tell me how to buy $XAI318K ?? i saw it on the news but no instructions how to get into the presale..,can anyone tell me how to buy xai318k  i saw it on the news but no instructions how to get into the presale,curiosity,0.568,
887,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
888,The song &quot;Daylight&quot; goes so well with Belly and Jer . OMGG! They&#39;re sooo cute!🫶🏻😭🥹,the song quotdaylightquot goes so well with belly and jer  omgg they39re sooo cute,admiration,0.833,
889,This series DEFINITELY has some VAMPIRE DIARIES brother drama in it!,this series definitely has some vampire diaries brother drama in it,approval,0.438,
890,Pure talent. No words,pure talent no words,admiration,0.835,
891,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
892,"Please don’t attack me for this post I know everyone wants their couple together. I have never read the books, I intend to once I see the finally. I wish they would film two endings so both sides get what they want one ending with Belly and Jerr ending it with their wedding and the other for Conrad fans getting their wedding.",please dont attack me for this post i know everyone wants their couple together i have never read the books i intend to once i see the finally i wish they would film two endings so both sides get what they want one ending with belly and jerr ending it with their wedding and the other for conrad fans getting their wedding,desire,0.725,
893,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
894,Get ready to see terrible writing from Jenny,get ready to see terrible writing from jenny,neutral,0.812,
895,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
896,"I was holding $1,500 worth of XRP for three months, but it did not grow much not even close to $10,000. However, after I converted that XRP to $XAI318K, I’ve made up to $45,000.❤❤",i was holding 1500 worth of xrp for three months but it did not grow much not even close to 10000 however after i converted that xrp to xai318k ive made up to 45000,neutral,0.872,
897,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
898,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
899,she’s wearing conrad’s sweated,shes wearing conrads sweated,neutral,0.967,
900,Ohoooo,ohoooo,neutral,0.548,
901,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
902,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
903,THE WAY MY SMILE DROPPED HEARING THAT HEY,the way my smile dropped hearing that hey,joy,0.48,😊
904,This looks so white and dumb. 🙈👎,this looks so white and dumb,annoyance,0.654,
905,Pure talent. No words,pure talent no words,admiration,0.835,
906,I was like is there something he is gonna say after hey but I am very excited to see what happens next,i was like is there something he is gonna say after hey but i am very excited to see what happens next,excitement,0.766,
907,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
908,Team JEREEEEEEEEEEEE❤,team jereeeeeeeeeeee,neutral,0.814,
909,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
910,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
911,"CLOSE THE DOOR, CONRAD",close the door conrad,neutral,0.965,
912,Team Jeeeeeer 1000000000000000000000000000000000%❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,team jeeeeeer 1000000000000000000000000000000000,neutral,0.805,
913,Pure talent. No words,pure talent no words,admiration,0.835,
914,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
915,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
916,omgggg,omgggg,surprise,0.302,😲
917,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
918,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
919,"if weren&#39;t not team conrad in the first season, I understand. If you still weren&#39;t team conrad in the second season, you have problems. if you&#39;re STILL not team conrad, you need a therapist ASAP.",if weren39t not team conrad in the first season i understand if you still weren39t team conrad in the second season you have problems if you39re still not team conrad you need a therapist asap,caring,0.609,
920,Teammm jereeee 💕💕💕😩😩😩😩,teammm jereeee,neutral,0.963,
921,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
922,The transition from “I once believed love would be black and white “ to “loving him was red” is literally soooooooo perfect !!!!!!!,the transition from i once believed love would be black and white  to loving him was red is literally soooooooo perfect,love,0.88,❤️
923,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
924,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
925,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
926,OMGGGG and … I hate it when the last part says “final season”…,omgggg and  i hate it when the last part says final season,anger,0.75,😡
927,TEAM CONRAD FOR LIFEEEE,team conrad for lifeeee,neutral,0.959,
928,LESSGOOO,lessgooo,neutral,0.97,
929,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
930,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
931,Always team conrad ❤️,always team conrad,neutral,0.967,
932,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
933,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
934,The 6 seconds are magical,the 6 seconds are magical,excitement,0.61,
935,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
936,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
937,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
938,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
939,THE WAY I OPENEND MY MOUTH,the way i openend my mouth,neutral,0.963,
940,"I know Jere and Belly look so perfect together, but I&#39;m still Team Conrad",i know jere and belly look so perfect together but i39m still team conrad,admiration,0.754,
941,That guy&#39;s teeth in the car scene when out of focus seemed like a white moustache 😂,that guy39s teeth in the car scene when out of focus seemed like a white moustache,neutral,0.947,
942,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
943,Conrad nooooo 😭😭😭😭,conrad nooooo,neutral,0.951,
944,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
945,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
946,😢❤Conrad&#39;s &quot; Hey! &quot;,conrad39s quot hey quot,neutral,0.97,
947,that &quot;hey&quot; is all i need <br>TEAM CONRAD FOR LIFE🙌🙌🙌,that quotheyquot is all i need brteam conrad for life,neutral,0.942,
948,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
949,"Why is everybody saying “red” means redflag when the lyrics are “loving him was red, losing him was blue” it means loving him was passionate, and losing him was melancholy",why is everybody saying red means redflag when the lyrics are loving him was red losing him was blue it means loving him was passionate and losing him was melancholy,sadness,0.821,😢
950,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
951,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
952,"What song? <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=46"">0:46</a>",what song a href,curiosity,0.332,
953,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
954,Team jellyfish,team jellyfish,neutral,0.968,
955,Team Jermiah !!!❤<br>Fingers crossed 🤞 🙏,team jermiah brfingers crossed,neutral,0.966,
956,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
957,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
958,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
959,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
960,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
961,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
962,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
963,LETS GOOOOO!!!!,lets gooooo,neutral,0.967,
964,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
965,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
966,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
967,Pure talent. No words,pure talent no words,admiration,0.835,
968,All takes is just one &quot;HEY&quot;😭❤‍🩹,all takes is just one quotheyquot,neutral,0.963,
969,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
970,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
971,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
972,Hey,hey,neutral,0.962,
973,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
974,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
975,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
976,16th july is my birthday is that good or bad news,16th july is my birthday is that good or bad news,confusion,0.428,
977,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
